Sr. No.,Content ID,Type,Datetime,Sentiment,Score,Content Type,Category,,Category,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,negative,0,photo,Studying,,animals,74965
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,negative,10,photo,Studying,,science,71168
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,negative,15,photo,Studying,,healthy eating,69339
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,negative,0,photo,Studying,,technology,68738
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,positive,30,photo,Studying,,food,66676
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,neutral,35,photo,Studying,,culture,66579
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,positive,70,photo,Studying,,travel,64880
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,negative,5,photo,Studying,,cooking,64756
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,neutral,35,photo,Studying,,soccer,57783
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,positive,65,photo,Studying,,education,57436
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,neutral,20,photo,Studying,,fitness,55323
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,negative,15,photo,Studying,,Studying,53984
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,positive,30,photo,Studying,,dogs,52511
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,negative,5,photo,Studying,,tennis,50339
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,negative,15,photo,Studying,,veganism,49619
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,positive,75,photo,Studying,,public speaking,49264
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,neutral,35,photo,Studying,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,neutral,20,photo,Studying,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,positive,30,photo,Studying,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,positive,45,photo,Studying,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,neutral,35,photo,Studying,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,negative,12,photo,Studying,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,positive,50,photo,Studying,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,positive,60,photo,Studying,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,negative,12,photo,Studying,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,negative,5,photo,Studying,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,negative,5,photo,Studying,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,positive,70,photo,Studying,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,positive,75,photo,Studying,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,positive,45,photo,Studying,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,negative,15,photo,Studying,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,positive,30,photo,Studying,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,neutral,20,photo,Studying,,,
